John Rowe,0.98,0.55,3,166,6,1,0,0,sales,medium
Maria Tracy,0.18,0.61,5,174,6,0,0,0,sales,medium
Tamika Nielson,0.62,0.91,3,251,10,0,0,0,sales,medium
Nancy Pettengill,0.29,0.37,6,187,10,1,0,0,sales,high
Michael Armendariz,0.87,0.48,5,170,3,0,0,0,sales,low
Ann Bloom,0.91,0.64,3,241,10,0,0,0,sales,medium
Janet Vaughn,0.53,0.79,3,221,10,1,0,0,sales,medium
Paul Mccurry,0.69,0.73,4,257,10,1,0,0,sales,medium
Ruby Moore,0.14,0.58,4,275,10,0,0,0,sales,medium
Davis Ragan,0.7,0.77,4,245,2,0,0,0,sales,low
Thomas Isbell,0.77,0.75,6,246,6,0,0,0,sales,low
Rosemary Grant,0.77,0.76,6,263,6,0,0,0,sales,low
Allen Fleming,0.76,0.99,3,133,4,0,0,0,sales,low
Bruce Bush,0.66,0.49,4,157,3,0,0,0,sales,low
Samuel Crowner,0.5,0.95,3,198,4,0,0,0,accounting,low
Stephen Sevin,0.57,0.9,5,145,3,0,0,0,accounting,low
Michelle Shorter,0.97,0.62,6,118,2,0,0,0,accounting,low
Michele Bass,0.26,0.99,5,184,5,0,0,0,hr,low
Matthew Martinez,0.72,0.62,3,243,2,1,0,0,hr,low
Stephen Miller,0.83,0.93,3,247,2,0,0,0,hr,low
Elsie Estrada,0.55,0.4,3,158,3,0,0,0,hr,low
Tiana Butler,0.77,0.74,5,243,2,0,0,0,technical,low
Kevin Allen,0.24,0.63,4,203,5,0,0,0,technical,low
Michelle Elumbaugh,0.8,0.96,3,161,3,0,0,0,technical,low
Marie Onell,0.5,0.59,4,214,3,1,0,0,technical,low
Tonya Malchow,0.66,0.59,4,179,3,0,0,0,technical,low
Alana Rios,0.66,0.77,4,188,2,0,0,0,technical,low
Daniel Quadnau,0.66,0.81,3,174,3,0,0,0,technical,low
Donna Blaine,0.96,0.83,3,177,4,0,0,0,technical,low
Joe Sharrow,0.75,0.94,5,194,4,0,0,0,technical,low
Linda Byrne,0.78,0.77,3,244,2,0,0,0,technical,medium
Anna Murray,0.57,0.82,4,269,2,0,0,0,technical,medium
Maria Kimberling,0.78,0.68,2,159,3,1,0,0,support,medium
Jacqueline Scott,0.57,0.88,4,140,2,0,0,0,support,medium
Joan Sebek,0.84,0.56,5,224,2,0,0,0,support,medium
Kevin Borchardt,0.23,0.94,5,242,4,0,0,0,support,medium
Frank Valencia,0.53,0.37,3,180,3,0,0,0,support,medium
Barbara Harvey,0.82,0.71,3,150,3,0,0,0,support,medium
David Cilley,0.59,0.64,5,269,3,0,0,0,support,medium
Tammy Goldberg,0.5,0.52,2,178,2,0,0,0,support,medium
Anthony Atwater,1.0,0.74,2,187,3,0,0,0,support,medium
Janie Warmack,0.94,0.61,3,140,2,0,0,0,support,medium
Jessica Williamson,0.86,0.61,4,193,2,0,0,0,support,high
Martha Holifeild,0.73,0.49,4,243,2,0,0,0,technical,low
Richard Jacobs,0.49,0.94,3,144,3,1,0,0,technical,medium
Betty Mcdonnell,0.79,0.73,2,147,2,0,0,0,technical,medium
James Gomez,0.83,0.5,6,165,3,0,0,0,management,medium
Gerald Brinson,0.85,0.67,3,176,2,0,0,0,IT,medium
Janet Shade,0.65,0.37,3,170,6,0,0,0,IT,low
Andrew Young,0.94,0.65,4,213,2,1,0,0,IT,low
Sabrina Landrum,0.76,0.81,4,242,2,0,0,0,IT,low
Jacqueline Williams,0.77,0.54,4,139,3,1,0,0,IT,low
Francis Holt,0.77,0.91,4,239,3,1,0,0,product_mng,low
Katherine Adams,0.59,0.64,5,123,2,0,0,0,product_mng,low
Andrew Rivera,0.69,0.9,3,185,4,0,0,0,product_mng,low
John Weaver,0.51,0.85,4,186,2,0,0,0,product_mng,low
Georgia Ashby,0.8,0.67,3,178,3,0,0,0,IT,low
Pamela Jones,0.98,0.7,3,153,10,0,0,0,management,high
Jacqueline Reed,0.69,0.72,4,185,10,1,0,0,management,high
William Clark,0.14,0.76,4,142,10,0,0,0,management,high
Patricia Jackson,0.95,0.9,4,221,10,1,0,0,management,high
Jacob Wright,0.53,0.61,3,148,10,0,0,0,management,high
Katherine Hartsock,0.64,0.52,5,258,10,1,0,0,management,high
Alberto Grisson,0.51,0.73,4,229,3,0,0,0,sales,low
Richard Crudup,0.36,0.73,2,111,2,0,0,0,sales,low
Christina Smith,0.62,0.97,2,271,3,0,0,0,sales,low
Karen Chapman,0.98,0.58,4,133,3,0,0,0,sales,low
Alice Rankin,0.53,0.7,4,223,3,0,0,0,sales,low
Edward Rarden,0.8,0.95,4,272,2,0,0,0,sales,low
George Prince,0.73,0.77,3,233,3,0,0,0,sales,medium
Joanne Brice,0.82,0.8,3,162,3,0,0,0,sales,medium
Arnold Nee,0.62,0.75,5,165,4,0,0,0,sales,medium
Michael Flick,0.87,0.48,5,242,3,0,0,0,sales,medium
James Caldwell,0.43,0.65,4,124,2,0,0,0,sales,medium
Arnold Jones,0.57,0.6,2,163,3,0,0,0,sales,medium
Kathlyn Shisler,0.91,0.77,3,144,3,0,0,0,sales,medium
Marie Friday,0.75,0.59,5,149,4,0,0,0,sales,medium
Shane Rittinger,0.76,0.8,5,217,2,0,0,0,sales,medium
Christopher Townsend,0.85,0.49,4,139,2,0,0,0,sales,medium
William Carter,0.56,0.67,3,270,2,0,0,0,sales,medium
Janie Benally,0.86,0.84,3,177,3,0,0,0,sales,medium
Quincy Hansen,0.21,0.43,5,175,2,1,0,0,sales,high
Terri Mooney,0.94,0.59,3,151,2,0,0,0,sales,low
Michael Ehrlich,0.98,0.74,3,185,3,0,0,0,sales,medium
Elaine Crawford,0.42,0.45,3,227,3,0,0,0,sales,medium
Mary Rubens,0.98,0.89,4,218,2,0,0,0,sales,medium
Denise Bennett,1.0,0.93,5,167,3,0,0,0,sales,medium
Rosario Bracy,0.95,0.52,3,183,2,1,0,0,sales,low
Betsy Ackerman,0.95,0.5,4,259,3,0,0,0,sales,low
Jimmie Titus,0.68,0.53,3,138,2,1,0,0,sales,low
James Lumpkin,0.64,0.38,5,122,4,0,0,0,sales,low
Scott Williamson,0.24,0.62,6,225,6,0,0,0,sales,low
Mary Jenkins,0.37,0.72,3,121,2,0,0,0,sales,low
Margie Sheffer,0.67,0.4,4,274,3,0,0,0,sales,low
June Darnley,0.86,0.89,4,153,4,0,0,0,sales,low
Steven Nettles,0.43,0.38,3,119,2,0,0,0,sales,low
Martha Shuler,0.67,0.67,4,141,2,1,0,0,sales,low
Billie Smith,0.92,0.6,4,161,3,0,0,0,IT,low
Rogelio Madore,0.43,0.46,2,186,2,0,0,0,product_mng,low
Joan Gambrill,0.52,0.8,3,252,4,0,0,0,product_mng,low
Johnnie Oconnor,0.16,0.42,3,182,3,1,0,0,product_mng,low
Mai Roberts,0.49,0.6,4,264,2,1,0,0,product_mng,low
Latonya Ritter,0.37,0.63,4,167,3,0,0,0,IT,low
Carter Johnson,0.98,0.68,5,171,3,0,0,0,management,high
Brenda Webb,0.33,0.97,5,130,4,0,0,0,management,high
Joseph Looney,0.14,0.79,5,271,4,0,0,0,management,high
Jay Allen,0.54,0.79,5,249,3,1,0,0,management,high
Elizabeth Colon,0.63,0.48,4,180,4,0,0,0,management,high
John Medina,0.55,0.69,4,220,3,1,0,0,management,high
Lorna Roberts,0.84,0.53,3,210,4,1,0,0,marketing,medium
Regina Glover,0.51,0.97,4,258,2,0,0,0,sales,medium
Barbara Mcclaren,0.15,0.75,3,150,4,0,0,1,accounting,medium
Louie Farruggio,0.97,0.79,5,259,3,0,0,1,support,medium
Dana Daniel,0.67,0.69,3,231,3,0,0,1,technical,medium
Dawn Holguin,0.48,0.67,4,220,3,0,0,1,management,medium
Tracey Albright,0.69,0.58,4,149,3,0,0,1,marketing,medium
Elizabeth Spicer,0.6,0.62,3,238,4,0,0,1,marketing,medium
Michael Hubbard,0.82,0.71,2,209,5,0,0,1,marketing,medium
