Greg Mills,0.62,0.6,4,170,2,0,0,0,sales,low
Venita Cruz,0.62,0.51,4,208,2,1,0,0,sales,low
Antonio Sweeney,0.96,0.61,4,199,3,0,0,0,sales,low
Billy Britt,0.98,0.96,4,253,3,0,0,0,sales,low
Sadie Williams,0.52,0.57,4,239,3,0,0,0,sales,low
Spencer Seymour,0.56,0.77,5,279,4,0,0,0,sales,low
Donna Cuddy,0.14,0.41,6,114,3,0,0,0,sales,low
Daniel Austin,0.29,0.38,6,105,5,0,0,0,sales,low
Lisa Fowler,0.76,0.81,4,193,3,1,0,0,accounting,low
Maria Santana,0.39,0.58,3,152,3,1,0,0,accounting,low
Helen Fowler,0.96,0.72,4,228,2,0,0,0,accounting,high
Latisha Risser,0.84,0.93,3,242,4,0,0,0,hr,low
Jennifer Robinson,0.81,0.62,4,197,3,0,0,0,hr,low
Jennifer Robinson,0.51,0.51,5,222,4,0,0,0,hr,low
Jennifer Ammerman,0.87,0.75,3,222,3,0,0,0,hr,low
Robert Garcia,0.94,0.77,5,233,4,0,0,0,technical,high
Omer Felton,0.69,0.97,4,264,3,0,0,0,technical,low
Sue Greenler,0.44,0.53,3,132,3,1,0,0,technical,low
James Davison,0.85,0.55,5,182,3,0,0,0,technical,low
Nicole Chaney,0.18,0.86,6,264,3,0,0,0,technical,high
Crystal Loureiro,0.91,0.74,6,253,2,0,0,0,technical,low
Milton Mcomber,0.81,0.83,3,193,3,0,0,0,technical,medium
Carrie Garces,0.82,0.59,5,143,2,1,0,0,technical,high
Stan Paschall,0.48,0.79,3,180,2,0,0,0,technical,medium
Katherine Garza,0.92,0.84,3,220,3,1,0,0,technical,high
Joanna Johnstone,0.94,0.88,5,150,4,0,0,0,technical,medium
Peter Greene,1.0,0.56,3,182,3,0,0,0,support,medium
Wallace Redding,0.96,0.91,3,257,3,0,0,0,support,medium
Rosalia Bryant,0.24,0.74,3,269,4,1,0,0,support,medium
John Colindres,0.62,0.89,5,243,3,0,0,0,support,medium
Cody Musumeci,0.55,0.76,4,257,3,0,0,0,support,medium
Michael Holland,0.82,0.52,5,233,2,0,0,0,support,medium
Ellen Adkins,0.62,0.56,4,267,4,0,0,0,support,medium
Janet Mccallister,0.61,0.69,4,160,2,1,0,0,support,high
John Prue,0.72,0.52,3,143,4,1,0,0,support,low
Thomas Simas,0.45,0.76,4,143,2,1,0,0,support,medium
Jacqueline Simard,0.51,0.93,3,162,4,0,0,0,support,medium
Paula Urda,0.42,0.53,3,181,5,0,0,0,technical,medium
Barbara Robertson,0.69,0.64,3,286,3,0,0,0,technical,medium
Kay Young,0.61,0.66,2,111,3,0,0,0,technical,medium
Eileen Brown,0.5,0.98,5,177,4,0,0,0,management,medium
